1289249680769026994,-22,0
1289249680866378068,-22,0
1289249680967082977,-22,19.00704909
1289249681067868947,258,20.454614945
1289249681170521020,1365,19.699372091
1289249681269757032,2825,17.5919895624
1289249681369406938,4247,17.4611798997
1289249681467928886,5686,18.7094777075
1289249681574764013,7169,19.9931471145
1289249681667869091,8565,21.1516798447
1289249681768874883,9959,22.1314295097
1289249681867265939,11471,23.4190655663
1289249681970006942,13109,23.8926674822
1289249682064627885,14672,24.6187491029
1289249682169563055,16409,25.5013282737
1289249682271358013,18118,26.5063068818
1289249682370439052,19859,27.2947941497
1289249682471370935,21689,27.9041870081
1289249682569251060,23552,28.4734525837
1289249682671015977,25475,29.1030422005
1289249682766554117,27404,29.7821488515
1289249682869119882,29413,30.2998237725
1289249682969875097,31379,31.3968633988
1289249683069550991,33479,31.9841275257
1289249683167685031,35629,32.053200833
1289249683267853021,37741,32.6632663471
1289249683365940093,39836,33.6649733546
1289249683465157985,41936,34.3705987902
1289249683572153091,44178,35.321210738
1289249683670979022,46413,35.8457602702
1289249683764476060,48589,35.8013381302
1289249683868489980,50887,36.4992026816
1289249683967334985,53179,37.394578824
1289249684070370912,55611,37.6081614204
1289249684168170928,58001,37.9340706892
1289249684270054101,60423,38.38168127
1289249684365012884,62827,38.9256879657
1289249684467384099,65355,39.0493093173
1289249684567089080,67837,39.795315594
1289249684766393899,72854,40.7426046402
1289249684863729000,75311,41.2162934163
1289249684967252969,77975,41.6516013067
1289249685068259954,80530,42.1008724314
1289249685167687892,83229,42.4217259235
1289249685263537883,85862,42.1369457433
1289249685366647005,88655,42.5320753719
1289249685466097116,91402,42.9910491542
1289249685566682100,94175,43.2277819616
1289249685666191101,96903,43.6869624841
1289249685765527009,99723,43.9648300412
1289249685866491079,102541,44.0924609949
1289249685968341112,105404,44.6141624145
1289249686068399906,108153,45.0562065668
1289249686165024042,111057,45.1928481597
1289249686265846014,113995,44.7281008227
1289249686364331960,116807,45.4733718792
1289249686466198921,119675,46.1248494706
1289249686566241025,122657,46.3049297571
